(-99927, -39100, 89012)
(-99927, -38873, 88785)
(-99927, -38869, 88781)
(-99927, -38829, 88741)
(-99927, -38766, 88678)
(-99927, -38748, 88660)
(-99927, -38740, 88652)
(-99927, -38623, 88535)
(-99927, -38621, 88533)
(-99927, -38599, 88511)
(-99927, -38587, 88499)
(-99927, -38555, 88467)
(-99927, -38498, 88410)
(-99927, -38465, 88377)
(-99927, -38449, 88361)
(-99927, -38404, 88316)
(-99927, -38323, 88235)
(-99927, -37748, 87660)
(-99927, -37667, 87579)
(-99927, -37580, 87492)
(-99927, -37568, 87480)
(-99927, -37517, 87429)
(-99927, -37426, 87338)
(-99927, -37328, 87240)
(-99927, -37169, 87081)
(-99927, -37149, 87061)
(-99927, -37029, 86941)
(-99927, -36981, 86893)
(-99927, -36947, 86859)
(-99927, -36832, 86744)
(-99927, -36731, 86643)
(-99927, -36719, 86631)
(-99927, -36710, 86622)
(-99927, -36635, 86547)
(-99927, -36610, 86522)
(-99927, -36528, 86440)
(-99927, -36456, 86368)
(-99927, -36450, 86362)
(-99927, -36360, 86272)
(-99927, -36256, 86168)
(-99927, -36157, 86069)
(-99927, -36123, 86035)
(-99927, -36083, 85995)
(-99927, -36038, 85950)
(-99927, -35938, 85850)
(-99927, -35906, 85818)
(-99927, -35830, 85742)
(-99927, -35768, 85680)
(-99927, -35635, 85547)
(-99927, -35589, 85501)
(-99927, -35572, 85484)
(-99927, -35530, 85442)
(-99927, -35513, 85425)
(-99927, -35483, 85395)
(-99927, -35442, 85354)
(-99927, -35362, 85274)
(-99927, -35154, 85066)
(-99927, -35128, 85040)
(-99927, -35091, 85003)
(-99927, -35023, 84935)
(-99927, -35000, 84912)
(-99927, -34990, 84902)
(-99927, -34958, 84870)
(-99927, -34747, 84659)
(-99927, -34739, 84651)
(-99927, -34612, 84524)
(-99927, -34475, 84387)
(-99927, -34378, 84290)
(-99927, -34222, 84134)
(-99927, -34106, 84018)
(-99927, -34084, 83996)
(-99927, -33977, 83889)
(-99927, -33882, 83794)
(-99927, -33872, 83784)
(-99927, -33823, 83735)
(-99927, -33617, 83529)
(-99927, -33528, 83440)
(-99927, -33524, 83436)
(-99927, -33478, 83390)
(-99927, -33360, 83272)
(-99927, -33281, 83193)
(-99927, -33280, 83192)
(-99927, -33260, 83172)
(-99927, -33118, 83030)
(-99927, -33070, 82982)
(-99927, -33063, 82975)
(-99927, -32996, 82908)
(-99927, -32962, 82874)
(-99927, -32752, 82664)
(-99927, -32750, 82662)
(-99927, -32747, 82659)
(-99927, -32708, 82620)
(-99927, -32685, 82597)
(-99927, -32628, 82540)
(-99927, -32499, 82411)
(-99927, -32430, 82342)
(-99927, -32343, 82255)
(-99927, -32181, 82093)
(-99927, -32140, 82052)
(-99927, -32024, 81936)
(-99927, -32024, 81936)
(-99927, -31800, 81712)
(-99927, -31737, 81649)
(-99927, -31715, 81627)
(-99927, -31675, 81587)
(-99927, -31631, 81543)
(-99927, -31603, 81515)
(-99927, -31487, 81399)
(-99927, -31399, 81311)
(-99927, -31398, 81310)
(-99927, -31282, 81194)
(-99927, -31207, 81119)
(-99927, -31136, 81048)
(-99927, -31079, 80991)
(-99927, -31078, 80990)
(-99927, -31022, 80934)
(-99927, -31005, 80917)
(-99927, -30633, 80545)
(-99927, -30587, 80499)
(-99927, -30517, 80429)
(-99927, -30473, 80385)
(-99927, -30446, 80358)
(-99927, -30271, 80183)
(-99927, -30245, 80157)
(-99927, -30148, 80060)
(-99927, -30109, 80021)
(-99927, -30108, 80020)
(-99927, -30090, 80002)
(-99927, -30040, 79952)
(-99927, -29995, 79907)
(-99927, -29803, 79715)
(-99927, -29801, 79713)
(-99927, -29718, 79630)
(-99927, -29704, 79616)
(-99927, -29630, 79542)
(-99927, -29550, 79462)
(-99927, -29198, 79110)
(-99927, -29146, 79058)
(-99927, -29086, 78998)
(-99927, -29027, 78939)
(-99927, -28994, 78906)
(-99927, -28955, 78867)
(-99927, -28863, 78775)
(-99927, -28527, 78439)
(-99927, -28497, 78409)
(-99927, -28479, 78391)
(-99927, -28354, 78266)
(-99927, -28330, 78242)
(-99927, -28160, 78072)
(-99927, -28139, 78051)
(-99927, -28127, 78039)
(-99927, -28116, 78028)
(-99927, -28101, 78013)
(-99927, -28087, 77999)
(-99927, -28063, 77975)
(-99927, -28004, 77916)
(-99927, -27988, 77900)
(-99927, -27919, 77831)
(-99927, -27759, 77671)
(-99927, -27743, 77655)
(-99927, -27714, 77626)
(-99927, -27550, 77462)
(-99927, -27539, 77451)
(-99927, -27460, 77372)
(-99927, -27257, 77169)
(-99927, -27192, 77104)
(-99927, -27126, 77038)
(-99927, -27124, 77036)
(-99927, -27106, 77018)
(-99927, -26940, 76852)
(-99927, -26801, 76713)
(-99927, -26801, 76713)
(-99927, -26766, 76678)
(-99927, -26626, 76538)
(-99927, -26618, 76530)
(-99927, -26610, 76522)
(-99927, -26584, 76496)
(-99927, -26458, 76370)
(-99927, -26192, 76104)
(-99927, -26112, 76024)
(-99927, -26075, 75987)
(-99927, -26061, 75973)
(-99927, -25948, 75860)
(-99927, -25843, 75755)
(-99927, -25807, 75719)
